configuracao,nuvem,fase,item_custo,usd_mes_1,usd_36m
C1,ibm,1,compute,3209.0800,115526.8800
C1,ibm,1,bloco,3839.6952,181525.3129
C1,ibm,1,objeto,607.3774,38432.3790
C1,ibm,1,egress,1108.6817,39912.5422
C1,ibm,1,licencas,0.0000,0.0000
C1,ibm,1,premio-gerenciado,0.0000,0.0000
C1,ibm,1,backup,160.0297,5761.0696
C1,ibm,1,suporte,0.0000,0.0000
C1,ibm,1,rede-ip-balanceador,101.2225,3644.0089
C1,ibm,1,observabilidade,0.0000,0.0000
C1,ibm,1,ia,0.0000,0.0000
C2,aws,1,compute,3302.0820,118874.9520
C2,aws,1,bloco,1502.2160,71018.7174
C2,aws,1,objeto,829.4400,52483.5992
C2,aws,1,egress,921.6000,33177.6000
C2,aws,1,licencas,0.0000,0.0000
C2,aws,1,premio-gerenciado,0.0000,0.0000
C2,aws,1,backup,218.5380,7867.3680
C2,aws,1,suporte,0.0000,0.0000
C2,aws,1,rede-ip-balanceador,98.5500,3547.8000
C2,aws,1,observabilidade,0.0000,0.0000
C2,aws,1,ia,0.0000,0.0000
C3,ibm,2,compute,3502.1422,126077.1193
C3,ibm,2,bloco,4107.3322,194178.1087
C3,ibm,2,objeto,607.3774,38432.3790
C3,ibm,2,egress,1108.6817,39912.5422
C3,ibm,2,licencas,0.0000,0.0000
C3,ibm,2,premio-gerenciado,628.9924,22643.7278
C3,ibm,2,backup,168.6787,6072.4347
C3,ibm,2,suporte,0.0000,0.0000
C3,ibm,2,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,observabilidade,0.0000,0.0000
C3,ibm,2,ia,25.4400,915.8400
C4,aws,2,compute,3258.5986,117309.5503
C4,aws,2,bloco,1513.2280,71539.3203
C4,aws,2,objeto,829.4400,52483.5992
C4,aws,2,egress,921.6000,33177.6000
C4,aws,2,licencas,0.0000,0.0000
C4,aws,2,premio-gerenciado,2018.9610,72682.5960
C4,aws,2,backup,0.0000,0.0000
C4,aws,2,suporte,0.0000,0.0000
C4,aws,2,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,observabilidade,0.0000,0.0000
C4,aws,2,ia,29.0000,1044.0000
